"ID","variable","raw_value","current_value","issue","scoring_hint","consensus"
12,"SES_BEDR_SC",NA,NA,"Missing / not entered","Bedrooms score — see NSE-AMAI table",NA
18,"SES_EDU_SC_CLEAN",NA,NA,"Missing / not entered","0=No formal, 10=Inc.primary, 22=Comp.primary, 23=Inc.secondary, 31=Comp.secondary, 35=Inc.high school, 43=Comp.high school, 59=Inc.university, 73=Comp.university, 101=Postgraduate",NA
18,"SES_BTHR_SC",NA,NA,"Missing / not entered","Bathrooms score — see NSE-AMAI table",NA
18,"SES_CAR_SC",NA,NA,"Missing / not entered","Cars score — see NSE-AMAI table",NA
18,"SES_INT_SC",NA,NA,"Missing / not entered","Internet access score — see NSE-AMAI table",NA
18,"SES_WRK_SC",NA,NA,"Missing / not entered","Primary earner education score — see NSE-AMAI table",NA
18,"SES_BEDR_SC",NA,NA,"Missing / not entered","Bedrooms score — see NSE-AMAI table",NA
22,"SES_BTHR_SC",NA,NA,"Missing / not entered","Bathrooms score — see NSE-AMAI table",NA
22,"SES_CAR_SC",NA,NA,"Missing / not entered","Cars score — see NSE-AMAI table",NA
22,"SES_INT_SC",NA,NA,"Missing / not entered","Internet access score — see NSE-AMAI table",NA
22,"SES_WRK_SC",NA,NA,"Missing / not entered","Primary earner education score — see NSE-AMAI table",NA
22,"SES_BEDR_SC",NA,NA,"Missing / not entered","Bedrooms score — see NSE-AMAI table",NA
85,"SES_BEDR_SC",NA,NA,"Missing / not entered","Bedrooms score — see NSE-AMAI table",NA
107,"SES_EDU_SC_CLEAN",NA,NA,"Missing / not entered","0=No formal, 10=Inc.primary, 22=Comp.primary, 23=Inc.secondary, 31=Comp.secondary, 35=Inc.high school, 43=Comp.high school, 59=Inc.university, 73=Comp.university, 101=Postgraduate",NA
108,"SES_EDU_SC_CLEAN",NA,NA,"Missing / not entered","0=No formal, 10=Inc.primary, 22=Comp.primary, 23=Inc.secondary, 31=Comp.secondary, 35=Inc.high school, 43=Comp.high school, 59=Inc.university, 73=Comp.university, 101=Postgraduate",NA
109,"SES_BTHR_SC",NA,NA,"Missing / not entered","Bathrooms score — see NSE-AMAI table",NA
125,"SES_BTHR_SC",NA,NA,"Missing / not entered","Bathrooms score — see NSE-AMAI table",NA
127,"SES_BTHR_SC",NA,NA,"Missing / not entered","Bathrooms score — see NSE-AMAI table",NA
182,"SES_BTHR_SC",NA,NA,"Missing / not entered","Bathrooms score — see NSE-AMAI table",NA
302,"SES_CAR_SC",NA,NA,"Missing / not entered","Cars score — see NSE-AMAI table",NA
312,"SES_CAR_SC",NA,NA,"Missing / not entered","Cars score — see NSE-AMAI table",NA
346,"SES_BTHR_SC",NA,NA,"Missing / not entered","Bathrooms score — see NSE-AMAI table",NA
346,"SES_CAR_SC",NA,NA,"Missing / not entered","Cars score — see NSE-AMAI table",NA
346,"SES_INT_SC",NA,NA,"Missing / not entered","Internet access score — see NSE-AMAI table",NA
346,"SES_WRK_SC",NA,NA,"Missing / not entered","Primary earner education score — see NSE-AMAI table",NA
346,"SES_BEDR_SC",NA,NA,"Missing / not entered","Bedrooms score — see NSE-AMAI table",NA
347,"SES_BTHR_SC",NA,NA,"Missing / not entered","Bathrooms score — see NSE-AMAI table",NA
347,"SES_CAR_SC",NA,NA,"Missing / not entered","Cars score — see NSE-AMAI table",NA
347,"SES_INT_SC",NA,NA,"Missing / not entered","Internet access score — see NSE-AMAI table",NA
347,"SES_WRK_SC",NA,NA,"Missing / not entered","Primary earner education score — see NSE-AMAI table",NA
347,"SES_BEDR_SC",NA,NA,"Missing / not entered","Bedrooms score — see NSE-AMAI table",NA
348,"SES_BTHR_SC",NA,NA,"Missing / not entered","Bathrooms score — see NSE-AMAI table",NA
348,"SES_CAR_SC",NA,NA,"Missing / not entered","Cars score — see NSE-AMAI table",NA
348,"SES_INT_SC",NA,NA,"Missing / not entered","Internet access score — see NSE-AMAI table",NA
348,"SES_WRK_SC",NA,NA,"Missing / not entered","Primary earner education score — see NSE-AMAI table",NA
348,"SES_BEDR_SC",NA,NA,"Missing / not entered","Bedrooms score — see NSE-AMAI table",NA
349,"SES_BTHR_SC",NA,NA,"Missing / not entered","Bathrooms score — see NSE-AMAI table",NA
349,"SES_CAR_SC",NA,NA,"Missing / not entered","Cars score — see NSE-AMAI table",NA
349,"SES_INT_SC",NA,NA,"Missing / not entered","Internet access score — see NSE-AMAI table",NA
349,"SES_WRK_SC",NA,NA,"Missing / not entered","Primary earner education score — see NSE-AMAI table",NA
349,"SES_BEDR_SC",NA,NA,"Missing / not entered","Bedrooms score — see NSE-AMAI table",NA
350,"SES_BTHR_SC",NA,NA,"Missing / not entered","Bathrooms score — see NSE-AMAI table",NA
350,"SES_CAR_SC",NA,NA,"Missing / not entered","Cars score — see NSE-AMAI table",NA
350,"SES_INT_SC",NA,NA,"Missing / not entered","Internet access score — see NSE-AMAI table",NA
350,"SES_WRK_SC",NA,NA,"Missing / not entered","Primary earner education score — see NSE-AMAI table",NA
350,"SES_BEDR_SC",NA,NA,"Missing / not entered","Bedrooms score — see NSE-AMAI table",NA
351,"SES_EDU_SC_CLEAN",NA,NA,"Missing / not entered","0=No formal, 10=Inc.primary, 22=Comp.primary, 23=Inc.secondary, 31=Comp.secondary, 35=Inc.high school, 43=Comp.high school, 59=Inc.university, 73=Comp.university, 101=Postgraduate",NA
351,"SES_BTHR_SC",NA,NA,"Missing / not entered","Bathrooms score — see NSE-AMAI table",NA
351,"SES_CAR_SC",NA,NA,"Missing / not entered","Cars score — see NSE-AMAI table",NA
351,"SES_INT_SC",NA,NA,"Missing / not entered","Internet access score — see NSE-AMAI table",NA
351,"SES_WRK_SC",NA,NA,"Missing / not entered","Primary earner education score — see NSE-AMAI table",NA
351,"SES_BEDR_SC",NA,NA,"Missing / not entered","Bedrooms score — see NSE-AMAI table",NA
352,"SES_BTHR_SC",NA,NA,"Missing / not entered","Bathrooms score — see NSE-AMAI table",NA
