ID,Question,Issue,Value_source1,Value_source2,Valences,Notes,Suggested_code
28,Q19,Primary vs. Jocelyne AND Alice,Q19.csv (primary): yes,Jocelyne: no | Alice: no,,It is not a small amount of time,
90,Q19,Primary vs. Jocelyne AND Alice,Q19.csv (primary): yes,Jocelyne: no | Alice: no,,"Wouldnt like to invest more time, but due to (?) it is not possible",
118,Q19,Primary vs. Jocelyne AND Alice,Q19.csv (primary): yes,Jocelyne: no | Alice: no,,Its okay,
139,Q19,Primary vs. Jocelyne AND Alice,Q19.csv (primary): no,Jocelyne: yes | Alice: yes,,"Yes i's acceptable, but it's tiring.",
177,Q19,Primary vs. Jocelyne AND Alice,Q19.csv (primary): yes,Jocelyne: no | Alice: no,,It takes a while. It doenst seem terrible,
190,Q19,Primary vs. Jocelyne,Q19.csv (primary): no,Jocelyne: yes | Alice: other,,"It's okay, Lucky that the water purifier is nearby",
29,Q26,Conflicting emotion valence (positive and negative for same participant),frustracion,tranquilidad,negative; positive,Siente tranquilidad cuando llega el agua y siente frustracion por no tener agua y no poder tener sus actividades diarias,
34,Q26,Conflicting emotion valence (positive and negative for same participant),miedo,feliz,negative; positive,Feliz cuando hay,
46,Q26,Conflicting emotion valence (positive and negative for same participant),alivio,tristeza; coraje,negative; positive,Cuando hay agua siente alivio. Se siente con coraje y tristeza por no tener agua para sus necesidades,
49,Q26,Conflicting emotion valence (positive and negative for same participant),miedo,bueno,negative; positive,Se siente bien porque tener el semag pero si le da miedo por las noticias que llegara un momento en el que va a faltar,
63,Q26,Conflicting emotion valence (positive and negative for same participant),gratitud,desconfianza,negative; positive,Gratitud por tener agua y desconfianza por la mala calidad,
74,Q26,Conflicting emotion valence (positive and negative for same participant),Preocupacion,satisfaccion,negative; positive,Cuando hay cortes--preocupacion,
78,Q26,Conflicting emotion valence (positive and negative for same participant),enojo,alivio; tranquilidad,negative; positive,Enojo cuando llega sucia. Alivio y tranquilidad porque no falta,
82,Q26,Conflicting emotion valence (positive and negative for same participant),frustracion,alegria,negative; positive,"Una parte alegria porque tienen, frustracion por mala calidad--a veces arriba ropa puede tener problemas piel--no les ha parado. Le precocupan los ninos.",
88,Q26,Conflicting emotion valence (positive and negative for same participant),Preocupacion,miedo; satisfaccion; tristeza; agradecido,negative; positive,Debido a que el agua es muy importante para todo y le preocupa y le da tristeza de que hay gente que no le da la importancia y no la cuida. Satisfaccion porque cuando hay se pueden cubrir las necesidades y agradecdes porque hay lugares que no tienen agua,
102,Q26,Conflicting emotion valence (positive and negative for same participant),Preocupacion,gratitud,negative; positive,Preocupacion de que vuelva a pasar la situacion que tener en marzo o abril. Gratitud porque ella si tiene agua y hay gente que no tiene.,
141,Q26,Conflicting emotion valence (positive and negative for same participant),enojo,tranquilidad; molestia,negative; positive,Si no falta tranquila. Si falta enojo. Lo peor es que no avisan. Molestia,
157,Q26,Conflicting emotion valence (positive and negative for same participant),Preocupacion,tranquilidad,negative; positive,Preocupacion-cobro de dinera. Agrade amiento de que si les manden.,
197,Q26,Conflicting emotion valence (positive and negative for same participant),frustracion,alivio,negative; positive,"Frustracion cuando sale muy sucia y cuando huele mal, porque siente que no es segura. Y alivio porque el agua no les falta",
306,Q26,Conflicting emotion valence (positive and negative for same participant),feliz,ansiedad,negative; positive,Sabe que no le falta y que eso la lleva a que si hace calor sabe que podria banarse y asi. No se preocupa. La reoterarer les ayuda mucho. A veces siente ansiedad de tanta agua que tiene y que otros no tienen.,
325,Q26,Conflicting emotion valence (positive and negative for same participant),Preocupacion,alegria,negative; positive,"Sin agua no viviana, cuando le llega el agua le da mucha alegria y cuando la quitan se preocupa mucho",
397,Q26,Conflicting emotion valence (positive and negative for same participant),satisfaccion,desperacion; agradecido,negative; positive,Le desperera que llegue poco--pero si agradece que llega,
414,Q26,Conflicting emotion valence (positive and negative for same participant),satisfaccion,gratitud,negative; positive,Satisfaccion y gratitud porque no le falta el agua,
415,Q26,Conflicting emotion valence (positive and negative for same participant),enojo,tranquilidad,negative; positive,Enojo para la calidad. Tranquila porque esta cayendo.,
455,Q26,Conflicting emotion valence (positive and negative for same participant),Preocupacion,tranquilidad,negative; positive,Preocupacion cuando no cae. Ahora tranquilidad,
462,Q26,Conflicting emotion valence (positive and negative for same participant),alivio,tristeza,negative; positive,Tristeza por calidad. Alivio porque tiene.,
472,Q26,Conflicting emotion valence (positive and negative for same participant),Preocupacion,tranquilidad,negative; positive,Tranquilidad porque hay pero igual le preocupe,
476,Q26,Conflicting emotion valence (positive and negative for same participant),Preocupacion,feliz,negative; positive,Preocupacion que no se vaya a lo. Felicidad cuando llega,
478,Q26,Conflicting emotion valence (positive and negative for same participant),frustracion,tranquilidad,negative; positive,"Cuando cae y alcanza a llenar - mas tranquila. Cuando no, frustrante. 2 ayer y hoy cayo bien. 1 dia anterior no cayo.",
480,Q26,Conflicting emotion valence (positive and negative for same participant),Preocupacion,alivio,negative; positive,Cuando falta - preocuacion. Alivio porque tiene ahora,
483,Q26,Conflicting emotion valence (positive and negative for same participant),frustracion,tranquilidad; angustia,negative; positive,Tranquilidad se normalizo. Encanez: frustracion y angustia. No puede hacer nada.,
484,Q26,Conflicting emotion valence (positive and negative for same participant),satisfaccion,angustia,negative; positive,Satisfaccion ahorita. Abril: angustia podia quedar sin agua,
492,Q26,Conflicting emotion valence (positive and negative for same participant),Preocupacion,feliz,negative; positive,Felicidad. Abril = preocupacion,
493,Q26,Conflicting emotion valence (positive and negative for same participant),enojo,satisfaccion,negative; positive,Enojo por calidad que es mala. Satisfaccion porque tiene,
495,Q26,Conflicting emotion valence (positive and negative for same participant),miedo,tranquilidad; tranquilidad,negative; positive,Miedo de no haber. Actual - tranquilos. Pero luego ya no se sabe.,
