ID,variable,Consensus
10,D_HH_SIZE,3
18,D_HH_SIZE,999
27,MX5_WFREQ_HRS_PER_WEEK,18
64,MX5_WFREQ_HRS_PER_WEEK,555
138,MX5_WFREQ_HRS_PER_WEEK,168
145,MX5_WFREQ_HRS_PER_WEEK,555
146,MX5_WFREQ_HRS_PER_WEEK,555
156,MX5_WFREQ_HRS_PER_WEEK,555
182,D_HH_SIZE,4
311,MX5_WFREQ_HRS_PER_WEEK,36
315,MX5_WFREQ_HRS_PER_WEEK,555
346,D_HH_SIZE,4
347,D_HH_SIZE,3
348,D_HH_SIZE,3
349,D_HH_SIZE,5
350,D_HH_SIZE,4
351,D_HH_SIZE,3
352,D_HH_SIZE,5
354,D_HH_SIZE,2
355,D_HH_SIZE,4
356,D_HH_SIZE,5
357,D_HH_SIZE,4
358,D_HH_SIZE,2
359,D_HH_SIZE,3
360,D_HH_SIZE,4
366,MX5_WFREQ_HRS_PER_WEEK,168
370,MX5_WFREQ_HRS_PER_WEEK,14
452,D_HH_SIZE,11
