ID,variable,current_value,notes,issue,hint,consensus
18,D_HH_SIZE,,,Missing / not entered,Enter number of household members as a positive integer.,
27,MX5_WFREQ_HRS_PER_WEEK,,,Missing / not entered,Enter hours per week as a positive number (e.g. 3.5). Use 0 if none.,
64,MX5_WFREQ_HRS_PER_WEEK,,,Missing / not entered,Enter hours per week as a positive number (e.g. 3.5). Use 0 if none.,
138,MX5_WFREQ_HRS_PER_WEEK,,,Missing / not entered,Enter hours per week as a positive number (e.g. 3.5). Use 0 if none.,
145,MX5_WFREQ_HRS_PER_WEEK,,,Missing / not entered,Enter hours per week as a positive number (e.g. 3.5). Use 0 if none.,
146,MX5_WFREQ_HRS_PER_WEEK,,,Missing / not entered,Enter hours per week as a positive number (e.g. 3.5). Use 0 if none.,
156,MX5_WFREQ_HRS_PER_WEEK,,,Missing / not entered,Enter hours per week as a positive number (e.g. 3.5). Use 0 if none.,
182,D_HH_SIZE,,4,Missing / not entered,Enter number of household members as a positive integer.,
311,MX5_WFREQ_HRS_PER_WEEK,,,Missing / not entered,Enter hours per week as a positive number (e.g. 3.5). Use 0 if none.,
315,MX5_WFREQ_HRS_PER_WEEK,,,Missing / not entered,Enter hours per week as a positive number (e.g. 3.5). Use 0 if none.,
346,D_HH_SIZE,,,Missing / not entered,Enter number of household members as a positive integer.,
347,D_HH_SIZE,,,Missing / not entered,Enter number of household members as a positive integer.,
348,D_HH_SIZE,,,Missing / not entered,Enter number of household members as a positive integer.,
349,D_HH_SIZE,,,Missing / not entered,Enter number of household members as a positive integer.,
350,D_HH_SIZE,,,Missing / not entered,Enter number of household members as a positive integer.,
351,D_HH_SIZE,,,Missing / not entered,Enter number of household members as a positive integer.,
352,D_HH_SIZE,,,Missing / not entered,Enter number of household members as a positive integer.,
354,D_HH_SIZE,,,Missing / not entered,Enter number of household members as a positive integer.,
355,D_HH_SIZE,,,Missing / not entered,Enter number of household members as a positive integer.,
356,D_HH_SIZE,,,Missing / not entered,Enter number of household members as a positive integer.,
357,D_HH_SIZE,,,Missing / not entered,Enter number of household members as a positive integer.,
358,D_HH_SIZE,,,Missing / not entered,Enter number of household members as a positive integer.,
359,D_HH_SIZE,,,Missing / not entered,Enter number of household members as a positive integer.,
360,D_HH_SIZE,,,Missing / not entered,Enter number of household members as a positive integer.,
366,MX5_WFREQ_HRS_PER_WEEK,,,Missing / not entered,Enter hours per week as a positive number (e.g. 3.5). Use 0 if none.,
370,MX5_WFREQ_HRS_PER_WEEK,,,Missing / not entered,Enter hours per week as a positive number (e.g. 3.5). Use 0 if none.,
452,D_HH_SIZE,,,Missing / not entered,Enter number of household members as a positive integer.,
