"Folio","WS.WI","Total_Hwise","Preocupacion","Interrupcion","Ropa","Planes","Alimentos","Manos","Cuerpo","Bebida","Enojo","Suenio","Ninguno","Verguenza","Season"
1,"WI",4,2,0,0,0,0,0,0,0,1,0,1,0,"Oct-Dec"
2,"WI",5,0,0,0,0,0,0,1,0,2,0,2,0,"Oct-Dec"
3,"WI",1,0,0,0,0,0,0,0,0,1,0,0,0,"Oct-Dec"
4,"WI",2,0,0,0,0,0,0,0,0,1,0,0,1,"Oct-Dec"
5,"WI",12,2,1,1,1,1,0,1,0,1,0,3,1,"Oct-Dec"
6,"WI",15,1,1,2,1,3,1,1,0,1,0,2,2,"Oct-Dec"
7,"WI",9,0,1,1,1,1,1,1,0,1,0,1,1,"Oct-Dec"
8,"WI",8,2,2,2,0,0,2,0,0,0,0,0,0,"Oct-Dec"
9,"WI",3,0,2,0,0,0,0,0,0,1,0,0,0,"Oct-Dec"
10,"WI",6,2,2,2,0,0,0,0,0,0,0,0,0,"Oct-Dec"
11,"WI",11,1,0,0,1,1,0,2,0,3,0,3,0,"Oct-Dec"
12,"WI",5,1,1,0,0,0,0,0,0,1,0,1,1,"Oct-Dec"
13,"WI",5,1,1,0,1,0,0,0,0,0,1,1,0,"Oct-Dec"
14,"WI",3,1,2,0,0,0,0,0,0,0,0,0,0,"Oct-Dec"
15,"WI",1,0,0,1,0,0,0,0,0,0,0,0,0,"Oct-Dec"
16,"WI",19,3,2,2,0,1,0,3,0,3,0,3,2,"Oct-Dec"
17,"WI",6,1,1,2,1,0,0,1,0,0,0,0,0,"Oct-Dec"
18,"WI",7,0,1,1,0,0,0,0,1,2,1,1,0,"Oct-Dec"
19,"WI",8,1,1,2,1,0,0,1,0,0,0,2,0,"Oct-Dec"
20,"WI",14,2,2,1,2,1,0,2,1,2,0,0,1,"Oct-Dec"
21,"WI",1,0,0,0,0,0,0,0,0,1,0,0,0,"Oct-Dec"
22,"WI",16,1,2,1,2,2,0,1,1,3,1,1,1,"Oct-Dec"
23,"WI",27,2,1,2,3,2,2,3,3,3,0,3,3,"Oct-Dec"
24,"WI",13,1,3,2,1,1,2,1,0,1,0,1,0,"Oct-Dec"
25,"WI",8,2,2,1,1,2,0,0,0,0,0,0,0,"Oct-Dec"
26,"WI",17,2,3,1,2,3,1,1,1,2,0,1,0,"Oct-Dec"
27,"WI",12,1,2,1,1,2,0,1,1,1,0,1,1,"Oct-Dec"
28,"WI",0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct-Dec"
29,"WI",12,1,2,2,1,1,0,1,0,1,0,2,1,"Oct-Dec"
30,"WI",17,2,3,3,3,0,0,0,0,2,1,3,0,"Oct-Dec"
31,"WI",18,3,1,1,3,1,2,1,0,1,1,3,1,"Oct-Dec"
32,"WI",19,2,3,2,3,0,0,2,1,3,1,2,0,"Oct-Dec"
33,"WI",14,1,3,1,2,1,1,1,1,2,1,0,0,"Oct-Dec"
34,"WI",13,1,2,1,2,0,0,1,1,0,1,2,2,"Oct-Dec"
35,"WI",NA,0,0,0,0,0,0,0,0,1,NA,0,0,"Oct-Dec"
36,"WI",1,0,0,0,0,0,0,0,0,1,0,0,0,"Oct-Dec"
37,"WI",2,1,0,0,0,0,0,0,0,0,1,0,0,"Oct-Dec"
38,"WI",5,0,0,0,0,2,0,0,0,3,0,0,0,"Oct-Dec"
39,"WI",20,2,2,3,2,1,1,2,1,2,0,2,2,"Oct-Dec"
40,"WI",22,2,2,3,1,2,2,2,1,2,0,2,3,"Oct-Dec"
41,"WS",0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct-Dec"
42,"WS",0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct-Dec"
43,"WS",10,1,1,1,1,2,0,0,1,1,0,2,0,"Oct-Dec"
44,"WS",0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct-Dec"
45,"WI",7,1,2,1,2,0,0,0,0,1,0,0,0,"Oct-Dec"
46,"WI",13,0,2,1,3,0,0,0,0,3,0,3,1,"Oct-Dec"
47,"WS",2,0,1,0,0,0,0,0,1,0,0,0,0,"Oct-Dec"
48,"WS",NA,0,0,0,1,0,0,1,0,NA,0,0,0,"Oct-Dec"
49,"WS",0,0,0,0,0,0,0,0,0,0,0,0,0,"Oct-Dec"
