"","Folio","X","WS.WI","SES_score","Total_Hwise","Preocupacion","Season","Emotions","X1.day.week..6.to.12","X3.days.week","X5.days.week","participant"
"1",2,1,"WI",196,5,0,"Oct-Dec",2,1,2,4,"2"
"2",3,2,"WI",52,1,0,"Oct-Dec",1,1,4,4,"3"
"3",4,3,"WI",214,2,0,"Oct-Dec",2,1,2,3,"4"
"4",5,4,"WI",117,12,2,"Oct-Dec",4,1,2,4,"4"
"5",6,5,"WI",220,15,1,"Oct-Dec",4,1,2,4,"1"
"6",7,6,"WI",130,9,0,"Oct-Dec",2,1,3,4,"1"
"7",8,7,"WI",131,8,2,"Oct-Dec",2,1,2,4,"2"
"8",9,8,"WI",71,3,0,"Oct-Dec",1,4,4,4,"4"
"9",10,9,"WI",117,6,2,"Oct-Dec",2,1,3,4,"3"
"10",11,10,"WI",159,11,1,"Oct-Dec",4,2,4,4,"2"
"11",12,11,"WI",204,5,1,"Oct-Dec",3,1,2,4,"3"
"12",13,12,"WI",159,5,1,"Oct-Dec",1,1,2,4,"2"
"13",14,13,"WI",132,3,1,"Oct-Dec",1,1,1,3,"3"
"14",15,14,"WI",113,1,0,"Oct-Dec",0,2,3,4,"4"
"15",16,15,"WI",104,19,3,"Oct-Dec",8,1,3,4,"1"
"16",17,16,"WI",127,6,1,"Oct-Dec",1,1,2,4,"1"
"17",19,17,"WI",110,8,1,"Oct-Dec",1,1,2,3,"1"
"18",20,18,"WI",199,14,2,"Oct-Dec",5,1,2,3,"2"
"19",21,19,"WI",86,1,0,"Oct-Dec",1,1,2,4,"3"
"20",23,20,"WI",107,27,2,"Oct-Dec",8,1,2,3,"2"
"21",24,21,"WI",125,13,1,"Oct-Dec",2,1,3,4,"2"
"22",25,22,"WI",174,8,2,"Oct-Dec",2,2,2,3,"2"
"23",26,23,"WI",140,17,2,"Oct-Dec",4,2,3,3,"2"
"24",27,24,"WI",141,12,1,"Oct-Dec",3,2,3,4,"3"
"25",28,25,"WI",187,0,0,"Oct-Dec",0,3,3,4,"4"
"26",29,26,"WI",141,12,1,"Oct-Dec",3,1,2,4,"2"
"27",30,27,"WI",102,17,2,"Oct-Dec",4,1,2,4,"2"
"28",31,28,"WI",137,18,3,"Oct-Dec",5,1,2,3,"2"
"29",32,29,"WI",184,19,2,"Oct-Dec",5,3,2,4,"1"
"30",33,30,"WI",198,14,1,"Oct-Dec",3,1,3,4,"4"
"31",34,31,"WI",121,13,1,"Oct-Dec",3,1,2,4,"3"
"32",35,32,"WI",102,NA,0,"Oct-Dec",1,1,3,4,"4"
"33",36,33,"WI",113,1,0,"Oct-Dec",1,1,2,4,"4"
"34",37,34,"WI",99,2,1,"Oct-Dec",1,2,3,4,"4"
"35",38,35,"WI",167,5,0,"Oct-Dec",3,2,2,4,"3"
"36",39,36,"WI",111,20,2,"Oct-Dec",6,1,3,4,"1"
"37",40,37,"WI",83,22,2,"Oct-Dec",7,1,2,3,"2"
"38",41,38,"WS",171,0,0,"Oct-Dec",0,1,2,3,"4"
"39",42,39,"WS",122,0,0,"Oct-Dec",0,1,2,3,"4"
"40",43,40,"WS",222,10,1,"Oct-Dec",2,1,2,3,"3"
"41",44,41,"WS",149,0,0,"Oct-Dec",0,1,3,3,"4"
"42",45,42,"WI",106,7,1,"Oct-Dec",2,1,2,4,"1"
"43",46,43,"WI",110,13,0,"Oct-Dec",4,1,2,3,"2"
"44",47,44,"WS",222,2,0,"Oct-Dec",0,1,2,3,"4"
"45",48,45,"WS",125,NA,0,"Oct-Dec",0,1,1,1,"2"
"46",49,46,"WS",148,0,0,"Oct-Dec",0,1,2,3,"3"
"47",50,47,"WS",227,2,1,"Oct-Dec",1,3,4,4,"4"
"48",51,48,"WS",143,3,0,"Oct-Dec",1,1,2,3,"4"
"49",52,49,"WI",111,13,1,"Oct-Dec",3,1,2,3,"3"
"50",53,50,"WI",132,4,0,"Oct-Dec",0,2,3,3,"3"
"51",54,51,"WI",108,3,0,"Oct-Dec",0,1,2,2,"3"
"52",55,52,"WI",107,8,1,"Oct-Dec",2,1,2,3,"2"
"53",56,53,"WI",43,11,1,"Oct-Dec",4,1,2,4,"1"
"54",57,54,"WI",83,12,3,"Oct-Dec",3,1,3,4,"3"
"55",58,55,"WI",128,5,0,"Oct-Dec",1,1,3,4,"2"
"56",59,56,"WI",159,7,0,"Oct-Dec",2,1,3,3,"4"
"57",60,57,"WI",153,2,0,"Oct-Dec",2,1,2,4,"4"
"58",61,58,"WI",123,3,0,"Oct-Dec",1,1,3,4,"3"
"59",62,59,"WI",120,9,1,"Oct-Dec",3,1,3,4,"3"
"60",63,60,"WI",174,NA,1,"Oct-Dec",1,1,2,3,"2"
"61",64,61,"WI",170,9,1,"Oct-Dec",4,1,3,4,"3"
"62",65,62,"WI",153,11,1,"Oct-Dec",4,1,2,3,"2"
"63",66,63,"WI",217,0,0,"Oct-Dec",0,1,2,4,"2"
"64",67,64,"WI",195,3,1,"Oct-Dec",1,3,2,4,"3"
"65",68,65,"WI",145,12,2,"Oct-Dec",3,1,2,4,"2"
"66",69,66,"WI",230,8,2,"Oct-Dec",4,1,3,3,"3"
"67",70,67,"WI",147,4,3,"Oct-Dec",3,1,3,4,"3"
"68",72,68,"WS",158,2,0,"Oct-Dec",1,1,1,2,"4"
"69",73,69,"WI",161,1,0,"Oct-Dec",1,1,3,4,"4"
"70",74,70,"WI",47,0,0,"Oct-Dec",0,1,2,4,"4"
"71",75,71,"WI",142,8,1,"Oct-Dec",3,1,2,4,"3"
"72",76,72,"WS",129,0,0,"Oct-Dec",0,3,3,4,"4"
"73",77,73,"WS",113,0,0,"Oct-Dec",0,1,2,4,"4"
"74",78,74,"WS",129,0,0,"Oct-Dec",0,1,2,2,"3"
"75",79,75,"WS",194,0,0,"Oct-Dec",0,1,2,3,"3"
"76",80,76,"WS",146,1,1,"Oct-Dec",1,1,2,3,"4"
"77",81,77,"WS",136,1,0,"Oct-Dec",1,1,3,3,"4"
"78",82,78,"WS",213,6,0,"Oct-Dec",2,1,4,4,"4"
"79",83,79,"WS",235,NA,0,"Oct-Dec",3,1,2,3,"4"
"80",84,80,"WS",151,5,1,"Oct-Dec",1,1,2,3,"2"
"81",85,81,"WS",211,1,0,"Oct-Dec",1,1,2,4,"4"
"82",86,82,"WS",109,4,1,"Oct-Dec",2,1,2,2,"2"
"83",87,83,"WS",84,23,2,"Oct-Dec",6,3,2,4,"3"
"84",88,84,"WS",190,13,1,"Oct-Dec",2,1,2,3,"3"
"85",89,85,"WS",164,8,1,"Oct-Dec",3,1,3,4,"3"
"86",90,86,"WS",234,2,0,"Oct-Dec",1,1,3,2,"4"
"87",91,87,"WS",198,7,1,"Oct-Dec",2,1,3,4,"3"
"88",92,88,"WS",174,3,0,"Oct-Dec",2,1,2,4,"4"
"89",93,89,"WS",222,5,1,"Oct-Dec",2,1,3,3,"3"
"90",94,90,"WS",117,4,0,"Oct-Dec",2,2,2,4,"4"
"91",95,91,"WS",150,4,1,"Oct-Dec",2,1,2,4,"2"
"92",96,92,"WS",127,0,0,"Oct-Dec",0,1,2,4,"4"
"93",97,93,"WS",135,0,0,"Oct-Dec",0,3,4,4,"4"
"94",98,94,"WS",83,7,0,"Oct-Dec",2,1,4,4,"4"
"95",99,95,"WS",133,9,1,"Oct-Dec",2,1,2,3,"3"
"96",100,96,"WS",204,2,0,"Oct-Dec",1,2,3,4,"4"
"97",101,97,"WS",176,20,2,"Oct-Dec",6,1,2,4,"3"
"98",102,98,"WS",194,9,2,"Oct-Dec",3,1,2,4,"3"
"99",103,99,"WS",156,8,1,"Oct-Dec",2,2,3,3,"3"
"100",104,100,"WS",151,1,0,"Oct-Dec",0,1,2,3,"4"
"101",105,101,"WS",191,0,0,"Oct-Dec",0,1,2,3,"3"
"102",106,102,"WS",64,10,1,"Oct-Dec",2,1,2,3,"2"
"103",110,103,"WS",125,4,0,"Oct-Dec",0,1,3,4,"2"
"104",111,104,"WS",143,16,3,"Oct-Dec",4,1,2,4,"4"
"105",112,105,"WS",89,1,1,"Oct-Dec",1,1,1,4,"4"
"106",113,106,"WS",125,6,1,"Oct-Dec",2,2,4,4,"4"
"107",114,107,"WS",119,2,0,"Oct-Dec",0,1,1,2,"4"
"108",115,108,"WS",201,5,1,"Oct-Dec",2,1,3,4,"3"
"109",116,109,"WS",101,6,3,"Oct-Dec",3,1,2,4,"3"
"110",117,110,"WS",209,2,1,"Oct-Dec",1,1,3,4,"2"
"111",118,111,"WS",159,5,0,"Oct-Dec",1,1,2,3,"4"
"112",119,112,"WS",125,10,1,"Oct-Dec",2,1,2,4,"1"
"113",120,113,"WS",94,4,0,"Oct-Dec",0,2,4,4,"2"
"114",121,114,"WS",78,4,1,"Oct-Dec",1,1,3,3,"4"
"115",123,116,"WS",167,2,0,"Oct-Dec",1,1,4,4,"2"
"116",124,117,"WS",159,11,3,"Oct-Dec",3,1,3,3,"4"
"117",125,118,"WS",128,0,0,"Oct-Dec",0,1,1,2,"3"
"118",126,119,"WS",162,0,0,"Oct-Dec",0,1,2,2,"4"
"119",127,120,"WS",188,0,0,"Oct-Dec",0,1,2,3,"4"
"120",128,121,"WS",52,10,3,"Oct-Dec",4,1,3,3,"1"
"121",129,122,"WS",200,4,0,"Oct-Dec",1,1,1,2,"4"
"122",130,123,"WS",161,4,0,"Oct-Dec",1,2,1,3,"4"
"123",131,124,"WS",116,14,3,"Oct-Dec",5,1,1,3,"3"
"124",132,125,"WS",119,3,0,"Oct-Dec",0,1,1,2,"3"
"125",133,126,"WS",113,2,1,"Oct-Dec",1,1,1,2,"3"
"126",134,127,"WS",115,4,1,"Oct-Dec",1,1,2,4,"4"
"127",135,128,"WS",220,3,0,"Oct-Dec",1,1,2,3,"2"
"128",136,129,"WS",197,5,1,"Oct-Dec",1,1,2,3,"4"
"129",137,130,"WS",121,5,0,"Oct-Dec",1,1,1,2,"2"
"130",138,131,"WS",138,18,2,"Oct-Dec",5,1,3,4,"3"
"131",139,132,"WS",120,5,0,"Oct-Dec",2,1,2,2,"2"
"132",140,133,"WS",228,3,0,"Oct-Dec",1,1,2,3,"4"
"133",141,134,"WS",141,13,0,"Oct-Dec",3,1,1,2,"3"
"134",142,135,"WS",92,18,1,"Oct-Dec",4,2,3,4,"2"
"135",143,136,"WS",104,4,1,"Oct-Dec",2,1,3,4,"4"
"136",144,137,"WS",87,3,0,"Oct-Dec",0,1,3,4,"3"
"137",145,138,"WS",123,6,1,"Oct-Dec",1,1,3,4,"3"
"138",146,139,"WS",117,0,0,"Oct-Dec",0,1,2,3,"4"
"139",147,140,"WS",149,5,0,"Oct-Dec",0,1,3,4,"4"
"140",148,141,"WS",62,1,0,"Oct-Dec",1,1,3,4,"4"
"141",149,142,"WS",132,17,3,"Oct-Dec",6,1,2,4,"3"
"142",150,143,"WS",110,2,0,"Oct-Dec",1,1,4,4,"4"
"143",151,144,"WS",58,6,1,"Oct-Dec",2,1,2,2,"1"
"144",152,145,"WS",74,13,3,"Oct-Dec",6,1,2,3,"1"
"145",153,146,"WS",110,14,2,"Oct-Dec",4,1,1,4,"4"
"146",154,147,"WS",49,8,2,"Oct-Dec",3,1,2,4,"4"
"147",155,148,"WS",92,12,1,"Oct-Dec",3,1,2,3,"3"
"148",156,149,"WS",72,8,2,"Oct-Dec",2,1,3,4,"3"
"149",157,150,"WS",119,8,2,"Oct-Dec",3,3,4,4,"4"
"150",158,151,"WS",114,9,3,"Oct-Dec",3,1,3,4,"3"
"151",159,152,"WS",129,5,1,"Oct-Dec",2,2,4,4,"2"
"152",160,153,"WS",129,2,0,"Oct-Dec",0,1,2,2,"4"
"153",161,154,"WS",194,9,1,"Oct-Dec",3,1,2,3,"4"
"154",162,155,"WS",125,6,1,"Oct-Dec",2,1,2,3,"4"
"155",163,156,"WS",137,1,0,"Oct-Dec",0,1,2,3,"4"
"156",165,157,"WS",176,2,0,"Oct-Dec",0,1,2,3,"4"
"157",166,158,"WI",60,11,0,"Oct-Dec",2,1,2,2,"3"
"158",167,159,"WI",64,16,2,"Oct-Dec",4,1,2,4,"3"
"159",168,160,"WI",121,NA,2,"Oct-Dec",2,1,4,4,"4"
"160",169,161,"WI",118,8,1,"Oct-Dec",2,1,3,4,"2"
"161",170,162,"WI",114,13,1,"Oct-Dec",3,1,3,4,"3"
"162",171,163,"WI",148,13,3,"Oct-Dec",5,1,3,4,"2"
"163",172,164,"WI",173,9,1,"Oct-Dec",3,1,3,4,"2"
"164",173,165,"WI",200,5,1,"Oct-Dec",2,3,4,4,"3"
"165",174,166,"WI",110,5,0,"Oct-Dec",1,1,3,4,"4"
"166",175,167,"WI",227,10,0,"Oct-Dec",1,2,4,4,"3"
"167",176,168,"WI",90,8,2,"Oct-Dec",2,1,2,4,"1"
"168",177,169,"WI",109,12,2,"Oct-Dec",2,2,3,4,"3"
"169",178,170,"WI",47,8,2,"Oct-Dec",3,1,3,4,"2"
"170",179,171,"WI",208,1,0,"Oct-Dec",0,1,2,4,"4"
"171",180,172,"WI",44,11,1,"Oct-Dec",4,2,3,3,"2"
"172",181,173,"WI",217,0,0,"Oct-Dec",0,3,4,4,"3"
"173",183,174,"WI",129,0,0,"Oct-Dec",0,1,2,4,"4"
"174",184,175,"WI",159,5,3,"Oct-Dec",4,1,4,4,"4"
"175",185,176,"WI",196,9,1,"Oct-Dec",2,2,4,4,"4"
"176",186,177,"WI",223,12,2,"Oct-Dec",5,1,3,3,"2"
"177",187,178,"WI",146,4,0,"Oct-Dec",1,1,2,4,"2"
"178",188,179,"WI",113,2,0,"Oct-Dec",0,1,2,4,"2"
"179",189,180,"WI",146,7,0,"Oct-Dec",1,1,2,4,"3"
"180",190,181,"WI",146,16,1,"Oct-Dec",5,3,4,4,"4"
"181",191,182,"WI",202,6,1,"Oct-Dec",1,1,3,4,"4"
"182",192,183,"WI",149,7,2,"Oct-Dec",3,1,1,4,"3"
"183",193,184,"WI",123,8,2,"Oct-Dec",3,1,1,2,"3"
"184",194,185,"WI",44,9,0,"Oct-Dec",0,1,2,3,"2"
"185",195,186,"WI",173,13,2,"Oct-Dec",5,1,2,4,"3"
"186",196,187,"WI",200,13,1,"Oct-Dec",2,1,2,4,"1"
"187",197,188,"WI",97,6,0,"Oct-Dec",1,1,4,4,"4"
"188",198,189,"WI",190,1,0,"Oct-Dec",0,1,3,4,"3"
"189",199,190,"WI",66,6,0,"Oct-Dec",0,1,3,4,"4"
"190",200,191,"WI",152,14,3,"Oct-Dec",6,1,2,3,"2"
"191",201,192,"WI",131,22,3,"Oct-Dec",6,1,2,2,"1"
