"Folio","Timestamp","Score","X14..Usted.ahorra.o.recicla.el.agua.","X14.pt.2...Como.y.porque","X19..Considera.que.en.su.hogar.invierten.mucho.tiempo.a.mas.del.que.a.usted.le.gustaria..en.administrar.el.agua..","X19.CAT","X20..Ha.ayudado.otras.personas.a.obtener.agua.","X21..Le.han.ayudado.otras.personas.a.conseguir.agua.","additional.comments."
2,"4/3/2024 11:49:59",NA,"Si recciclamaos ","captamos agua de lluvia ","no se invierte mucho tiempo","no","no","no",NA
3,"4/3/2024 11:51:46",NA,"Si ","lava ropa-> para el bano o lavar patio. Agua de lluvia","no le molesa ","no","Si. tambitos para personas de otras colonias o vecinos-> le pedian unos tambos de agua ","n/a ",NA
4,"4/3/2024 11:55:45",NA,"Si","para la lavadora, p/lavar su patio. El agua que cae despues de banarse es piel excusado o la que sale se bana con.","No, xq toda la vida ha vivido asi. y esta consiente de que eso va a empeorar o seguir pasando ","no","no","no, solo cuando el temblor del 2017 se ban organizar entre vecinos piden una pipa",NA
5,"4/3/2024 11:58:58",NA,"se recicla el agua de la lavadora y de la regadera ","de la lavadora y de la regadera. El agua se ocupa para el bano y para lavar el bano y el patio","siente que no le dedica mucho tiempo","no","cuando se pide pipa, se sunta con otros 3 vecinos para pedirla. comparte el agua de la pipa con los vecinos","si, los vecinos comparten el agua de la pipa. ",NA
6,"4/3/2024 12:17:20",NA,"Si ","llena cubeta ","mas del q le gustaria ","si","Si, vecino: le pasa cubetas ","si, comparten pipa ",NA
7,"4/3/2024 12:21:18",NA,"Si ","lavar trastes--> cubeta--> bano","si ","si","a vecina, comparten pipa","no le han aguadado",NA
8,"4/3/2024 12:22:30",NA,"si","cuando se laval la ropa es para banar mascota o el bano","no","no","si","si- porque uno de su familias tiene el contracto de la pipa",NA
9,"4/3/2024 12:31:22",NA,"lavadora-> w.c.","agua de lluvia ","medio- no es tanto tiempo. si tuberia filtro o bamba ","no","si, vecinos- les falta agua. ahi piden agua 1 c/2 vez al mes.","en tiempos de una escasez- vecinos se organizan x pipa 1 vez al ano",NA
10,"4/3/2024 12:34:12",NA,"si","lava ropa-> lava bano, patio// sabemos q no es abundante. Pendiente no capta agua de lluvia. ","no","no","prestan cubetas de agua","si, sobre pedir pipa",NA
11,"4/3/2024 12:37:27",NA,"si","lavar ropa-> patio, plantas-> w.c. ","no es mucho tiempo","no","si una vez temblor. de plano no llegaba, ahi recolectan lluvia ","si, con las pipas se ponen de acuerdo x terremoto. Antes, hay 45 anos, les vecinos le dieron agua",NA
12,"4/3/2024 12:39:36",NA,"Si","lava se ocupa para los perros. Lluvia se usa para bano ","no","no","no","Si, vecinos para pipa",NA
13,"4/3/2024 12:41:03",NA,"Si","usar la menos cantidad de agua","no, es poco (3 horas)","no","no","no ",NA
14,"4/3/2024 12:42:40",NA,"Si","El agua de bano se echa por cubetas para no jarle a la taza. ","creo que invertimos mas o menos de tiempo","a bit","cuando no hay agua entre vecinos pedimos pipa","casi no",NA
15,"4/3/2024 12:44:34",NA,"Si"," el agua de bano se usa para lavar jergas ","no creo que no","no","si, en abril les cortaron el agua. les ayudamos dando agua ","no",NA
16,"4/3/2024 12:46:03",NA,"Si","el agua cuando lavan ropa se usa para el bano","si se invierte mucho tiempo","si","no","no",NA
17,"4/3/2024 12:49:39",NA,"Si","la ropa de lavadora se usa para lavar bano o patio. ","si es mucho tiempo, si podria  invertir el tiempo en otras cosas ","si","Si","Cuando hay escasez si ha tenido que organizarnos para conseguir pipas a veces formandonos desde muy temprano  ",NA
18,"4/3/2024 12:57:48",NA,"Si ","intentan ahorrar. Reusan agua ","no","no","Si, regalan a los vecinos, cubetas, cuando hay mucha escasez ","no necesitan. gran cisterna. cuando lavan cisterna a veces sufren pero no piden. ",NA
19,"4/3/2024 13:02:40",NA,"Si","recicla, lavadora--> bano levar el piso","se acostumbras  ","other","no","no",NA
20,"4/3/2024 13:04:02",NA,"si,"," el agua que se lava ropa se usa para el bano y para lavar los areneros de gatos","si, se invierte mas tiempo del que nos gustaria","si","no","no",NA
21,"4/3/2024 13:05:10",NA,"si","lavadora--> patio y bano, pa no gastar tanto ","no","no","no","no",NA
