ID,MX16_SCEN_01,MX16_SCEN_03,MX16_SCEN_05,MX16_SCEN_99,MX16_SCEN_INFO
302,2,4,4,4,
304,1,2,2,4,
306,1,4,4,4,"Luisa: ""completamente suficiente"" 
Partcipante: ""que ponga un balneano"" "
308,3,4,4,3,
310,1,3,4,2,
312,1,3,4,4,
314,1,2,4,2,
316,2,3,3,1,
318,1,4,4,3,
320,1,2,2,3,
322,1,3,4,3,
324,4,4,4,2,
326,1,2,4,4,
328,1,3,4,4,Folio
330,2,4,4,3,EscenariosSuficienteAgua [María]
332,1,3,3,1,EscenariosSuficienteAgua [Paola]
334,1,3,4,2,EscenariosSuficienteAgua [Luisa]
336,1,3,4,3,EscenariosSuficienteAgua [Participante]
338,1,3,3,3,Comentarios adicionales
340,1,3,4,4,
342,1,2,4,1,
344,1,3,4,3,
346,1,3,4,3,
348,4,3,4,3,
350,1,2,4,3,
352,3,4,4,2,
354,2,2,4,4,
356,2,3,4,4,
358,1,1,3,3,
360,1,2,3,4,
362,1,1,2,4,
364,1,3,3,4,
366,1,2,4,1,
368,1,3,4,4,
370,1,3,4,3,
372,1,2,3,3,
374,1,4,4,4,
376,1,4,4,2,
378,1,3,4,1,
380,1,2,4,4,
382,3,4,4,1,
384,2,4,4,2,
386,1,4,4,3,
388,1,3,4,2,
390,1,3,4,3,
392,1,4,4,4,
394,1,3,4,1,
396,1,4,4,2,
398,2,4,4,3,
400,1,2,4,2,
402,1,3,4,3,
404,1,3,4,4,
406,1,2,3,4,
408,1,2,2,2,
410,1,1,1,2,
412,1,2,4,4,
414,1,2,3,4,
416,1,2,3,3,
418,1,2,3,4,
420,1,3,4,3,
422,1,2,3,4,
424,1,2,3,3,
426,1,4,4,3,
428,1,4,4,3,
432,1,3,4,3,
434,1,2,3,2,Participante: porque no hay suficiente para almacenar--> tinaco y pileta
436,1,2,4,3,
438,1,2,3,2,
440,1,2,3,2,
442,1,2,4,3,Aveces no alcanza apartar la agua
444,1,2,3,3,"Por cuando cae menos de lo normal. 
Cuando cae aprovecha para lavar"
446,1,4,4,1,Paola: con eso serian felices
448,1,3,4,4,
450,1,2,4,2,
452,1,2,3,2,
454,1,3,4,4,
456,1,2,4,2,
458,1,3,3,4,Participante: por el sistema de almacena miento de agua
460,1,2,3,3,
462,1,3,4,4,
464,1,2,4,4,
466,1,3,4,4,
468,1,2,4,4,Tienen que llenar 2 o 3 veces al dia cuando cae poca.
470,1,3,4,2,
472,1,1,4,4,
474,1,1,2,3,falta--> baja presion o sucia
476,1,2,3,4,Abril--> habria sido 3
3,1,4,4,3,
5,1,2,4,4,
478,1,3,4,1,Casa anterior
7,1,3,4,1,
9,4,4,4,4,
11,2,4,4,2,
480,2,4,4,4,
13,1,2,4,2,"Porque como la cuida el sentimiento es ""de mera preocepeccía"""
482,4,4,4,4,Ella penso que era emergencia. No emergencia seria 2
15,2,3,4,4,
484,1,2,4,4,
17,1,2,4,1,
19,1,2,3,1,No es suficiente para todo
21,1,2,4,3,
23,1,2,3,2,
25,2,2,3,2,
486,1,2,3,4,5 personas
27,2,3,4,3,Cambia su repuestas pero es claro que esos son sus repuestas finales
29,1,2,4,2,
488,1,2,3,4,Abril= 1. Casi no caia y entabar muy sucia.
31,1,2,3,2,Al principio no precibio como intermitente su acceso al agua
33,1,3,4,4,
490,1,1,2,3,diario cae pero baja presion
35,1,3,4,4,
37,2,3,4,4,
39,1,3,4,1,
41,1,2,3,4,
492,2,4,4,4,Abril--> 1. Caia en madrugada--> tenian que pararce muy temperano
43,1,2,3,3,
45,1,2,4,1,
47,1,2,3,4,"Mana no recibe agua para bañarse ni para lavar, comenta"
494,1,3,4,3,Paola puede apartar todos los dias
496,1,3,3,4,
49,1,2,3,3,"La ultima (Luisa) no es completamente suficiente, porque de repente llega a faltar y eso hace que crea que no es 100% suficiente"
51,1,2,3,4,
53,2,3,3,3,No es claro si la segunda repuesta es un 1 o un 2 pero creo que es 2.
55,1,2,3,2,
57,1,3,4,3,
59,1,3,3,4,Paola-si tiene almacenamente
61,1,3,4,3,
63,1,2,3,2,
65,1,2,3,2,
67,3,2,4,3,
69,1,3,3,3,
71,1,3,3,4,
73,1,3,4,4,
75,1,2,4,3,
77,1,2,4,4,
79,1,2,3,3,
81,1,3,3,4,
83,1,2,3,4,
85,1,2,4,4,
87,3,2,4,3,
89,1,3,4,3,
91,1,3,4,3,
93,1,3,3,3,
95,1,2,4,2,
2,1,2,4,2,
97,3,4,4,4,"María-familia en estado de México, 1 o 2 por semana "
99,1,2,3,3,
101,1,2,4,3,
4,1,2,3,4,"Tiene problema con la calidad, mas que con la cantidad "
103,2,3,3,3,
105,1,2,3,3,
107,1,2,3,3,
109,1,2,3,3,
6,1,2,4,1,Viernes le falta agua
111,1,2,4,4,
8,1,2,4,2,
10,1,3,4,3,
113,2,4,4,4,"Estas respuestas son si solo hablamos de las condiciones de solo una persona. María, Paola, Luisa etc; sin considerar si tienen familia o viven con alguien más"
115,1,3,4,3,
12,1,2,4,3,cisterno grande= alcanza para varios dias
14,1,1,3,3,solo que la calidad no es buena
117,1,3,4,2,"3 días a la semana sale bien, podría lavar en esos días. No tendría que estar al pendiente. Se podía organizar."
16,1,3,4,1,
