,SampleID,CatA,CatJ,CatL,Match,Consensus
145,147,???????,no,no,different,no
176,179,mo,no,no,different,no
2,3,no,no,other,different,
90,91,no,no,other,different,
127,129,no,no,other,different,
178,181,no,no,other,different,
268,367,no,no,other,different,
8,9,no,no,somewhat,different,
57,58,no,no,somewhat,different,
67,68,no,no,somewhat,different,
103,104,no,no,somewhat,different,
110,111,no,no,somewhat,different,
128,130,no,no,somewhat,different,
199,202,no,no,somewhat,different,
200,203,no,no,somewhat,different,
240,339,no,no,somewhat,different,
27,28,no,no,yes,different,
89,90,no,no,yes,different,
117,118,no,no,yes,different,
174,177,no,no,yes,different,
72,73,no ????,no,no,different,no
21,22,no???,no,no,different,no
114,115,no???,no,no,different,no
255,354,no????,no,no,different,no
165,168,no/other???,no,no,different,no
172,175,other,no,no,different,
181,184,other,no,no,different,
18,19,other,no,other,different,other
230,329,other,no,other,different,other
233,332,other,no,other,different,other
34,35,other,no,somewhat,different,
169,172,other,no,somewhat,different,
171,174,other,no,somewhat,different,
310,409,other,yes,somewhat,different,
28,29,other,yes,yes,different,
32,33,other,yes,yes,different,
102,103,other,yes,yes,different,
108,109,other,yes,yes,different,
155,157,other,yes,yes,different,
167,170,other,yes,yes,different,
210,309,other ??? ,yes,yes,different,
91,92,other?????,no,no,different,
187,190,other??????,yes,no,different,
100,101,somewhat,no,no,different,
164,167,somewhat,no,no,different,
225,324,somewhat,no,no,different,
226,325,somewhat,no,no,different,
227,326,somewhat,no,no,different,
228,327,somewhat,no,no,different,
229,328,somewhat,no,no,different,
253,352,somewhat,no,no,different,
256,355,somewhat,no,no,different,
257,356,somewhat,no,no,different,
258,357,somewhat,no,no,different,
260,359,somewhat,no,no,different,
261,360,somewhat,no,no,different,
262,361,somewhat,no,no,different,
263,362,somewhat,no,no,different,
270,369,somewhat,no,no,different,
271,370,somewhat,no,no,different,
273,372,somewhat,no,no,different,
274,373,somewhat,no,no,different,
276,375,somewhat,no,no,different,
277,376,somewhat,no,no,different,
278,377,somewhat,no,no,different,
280,379,somewhat,no,no,different,
