"","X","SampleID","CatA","CatJ","CatL","Match","Consensus"
"1",145,147,"???????","no","no","different","no"
"2",176,179,"mo","no","no","different","no"
"3",72,73,"no ????","no","no","different","no"
"4",21,22,"no???","no","no","different","no"
"5",114,115,"no???","no","no","different","no"
"6",255,354,"no????","no","no","different","no"
"7",165,168,"no/other???","no","no","different","no"
"8",18,19,"other","no","other","different","other"
"9",230,329,"other","no","other","different","other"
"10",233,332,"other","no","other","different","other"
"11",13,14,"somewhat","no","somewhat","different","somewhat"
"12",99,100,"somewhat","no","somewhat","different","somewhat"
"13",320,419,"somewhat","no","somewhat","different","somewhat"
"14",341,440,"somewhat","no","somewhat","different","somewhat"
"15",1,2,"no","no","no","match","no"
"16",3,4,"no","no","no","match","no"
"17",4,5,"no","no","no","match","no"
"18",7,8,"no","no","no","match","no"
"19",9,10,"no","no","no","match","no"
"20",10,11,"no","no","no","match","no"
"21",11,12,"no","no","no","match","no"
"22",12,13,"no","no","no","match","no"
"23",14,15,"no","no","no","match","no"
"24",17,18,"no","no","no","match","no"
"25",20,21,"no","no","no","match","no"
"26",24,25,"no","no","no","match","no"
"27",26,27,"no","no","no","match","no"
"28",30,31,"no","no","no","match","no"
"29",33,34,"no","no","no","match","no"
"30",35,36,"no","no","no","match","no"
"31",37,38,"no","no","no","match","no"
"32",40,41,"no","no","no","match","no"
"33",41,42,"no","no","no","match","no"
"34",43,44,"no","no","no","match","no"
"35",44,45,"no","no","no","match","no"
"36",46,47,"no","no","no","match","no"
"37",47,48,"no","no","no","match","no"
"38",48,49,"no","no","no","match","no"
"39",49,50,"no","no","no","match","no"
"40",50,51,"no","no","no","match","no"
"41",53,54,"no","no","no","match","no"
"42",55,56,"no","no","no","match","no"
"43",56,57,"no","no","no","match","no"
"44",58,59,"no","no","no","match","no"
"45",59,60,"no","no","no","match","no"
"46",60,61,"no","no","no","match","no"
"47",63,64,"no","no","no","match","no"
"48",70,71,"no","no","no","match","no"
"49",71,72,"no","no","no","match","no"
"50",74,75,"no","no","no","match","no"
"51",75,76,"no","no","no","match","no"
"52",76,77,"no","no","no","match","no"
"53",77,78,"no","no","no","match","no"
"54",78,79,"no","no","no","match","no"
"55",79,80,"no","no","no","match","no"
"56",80,81,"no","no","no","match","no"
"57",81,82,"no","no","no","match","no"
"58",84,85,"no","no","no","match","no"
"59",88,89,"no","no","no","match","no"
"60",92,93,"no","no","no","match","no"
"61",93,94,"no","no","no","match","no"
"62",95,96,"no","no","no","match","no"
"63",96,97,"no","no","no","match","no"
"64",97,98,"no","no","no","match","no"
"65",98,99,"no","no","no","match","no"
"66",106,107,"no","no","no","match","no"
"67",111,112,"no","no","no","match","no"
"68",112,113,"no","no","no","match","no"
"69",113,114,"no","no","no","match","no"
"70",120,121,"no","no","no","match","no"
"71",121,123,"no","no","no","match","no"
