SampleID,MonthIntenseScarcity,Comm_MonthIntsenseScarcity,ScarcirtyType,ContinIntermit,Comm_ContinIntermit,FreqSupply4weeks,Comm_FreqSupply4weeks,AwarenessCutoffs,Comm_AwarenessCutoffs,NumDaysSupply,NumHrsDaySupply,HrsDaySupply_FIX,HrsWaterWeek,Comm_supply,Comm_HrsSupply,SufficientWPressure,Comm_SuffWPressure,Comm_general
1,marzo,marzo esporadicamente durante el año,,Intermitente,recibo agua 6 dias y 1 no. durante el tiempo de escasez,diario,,,,7,24,24/7,168,"diario, las 24 hrs. En la mañana hay más presión",,Yes,durante la mañana,
2,"marzo, abril",,,Continua,,diario,,,,7,5,7-May,35,"los 7 dias de la semana, 5 hrs diario","los 7 dias de la semana, 5 hrs diario",Yes,,
3,N/A,"estable. regular siempre hay agua. solo findes--mañana, la quitan tipo 5 pm. dgo mañana se va el lunes a las 8am",,Intermitente,,1 a 3 dias a la semana,,,,N/A,?,?,N/A,,,Yes,,
4,"época seca, enero","en enero o epoca de sequía no llega mucha agua, a veces avisan y no llega por una semana",,Intermitente,"le llega agua de 8am-12 dia recibe agua, todos los dias",diario,en el horario señalado anteriormente,,,7,4,7-Apr,28,4 hrs al dia,"le llega agua de 8am-12 dia recibe agua, todos los dias",Yes,,
5,"época de calor, mayo, junio",,,Intermitente,"6 dias a la semana se cuenta con agua. suelen cortar el agua hasta una semana (no es frecuente). cuando hay agua, fluye las 24 hrs.",4 a 6 dias a la semana,,,,"6, 7",?,24/6 + ~12/1,156,no hay dias especificos en los que falta el agua. Hay agua 6 dias de 7 de la semana. En el dia que no hay agua solo son unas horas,"6 dias a la semana se cuenta con agua. suelen cortar el agua hasta una semana (no es frecuente). cuando hay agua, fluye las 24 hrs.Hay agua 6 dias de 7 de la semana. En el dia que no hay agua solo son unas horas",Yes,se cuela el agua de algunas fuentes,
6,primavera,primavera--mas calor,,Intermitente,"1 vez x semana usual% jueves noche, o viernes noche. no predecible. 12 noche a 6am.--> cisterna, lavar en la noche",1 a 3 dias a la semana,,,,"1, 2, 3",6,6/1/2003,12,12 noche a 6am,12 noche a 6am,Yes,"tienen suficiente, cuidan",
7,"marzo, abril, mayo, junio",,,Intermitente,"durante escasez no les llega. 1 vez por semana de las 9am-1pm. tienen que llamar pipas o ir a formar. Ellos van a formarse, si llaman no cuentan~1 a la semana, comparten con vecinos (2 o 3)",1 a 3 dias a la semana,,,,"1, 2, 3",6-May,5-6/1-3,11,"9am-2 o 3pm~dias no predecible, ni idea//cambian planes, hacer lo que no iba a hacer","9am-2 o 3pm~dias no predecible, ni idea//cambian planes, hacer lo que no iba a hacer",Yes,llenar tinaco c/manguera pa ahorrar luz,
8,N/A,1 mes. maña 7-12:00 y dgo--un poco más 16:00,,Intermitente,maña 7-12:00 lunes-sabado y dgo--un poco más +-16:00,diario,en los horarios de arriba,,,7,5/6 + 9/1,5/6 + 9/1,39,"mañana 7:00-12:00 lunes a sabado
dgo--un poco más +-16:00","mañana 7:00-12:00 lunes a sabado
dgo--un poco más +-16:00",Yes,,
9,"primavera, época de calor, feb, marzo, abril, mayo, junio",primavera--calor--feb-marzo hasta junio,,Intermitente,cada semana. cada 15 dias--> puede ser 1/2 dia. epoca escasez--> llenan tambos y botes c/agua de llave. no hay un dia fijo. hay poquito.,"en todo el mes, 1 a 3 veces",cada 8 dias,,,"1, 2",6-Jan,1-6/1-2,5.25,"variable, 1-2 dias a la semana--un rato. 1-6 horas","variable, 1-2 dias a la semana--un rato. 1-6 horas",Yes,,
10,marzo,piden pipas,,Intermitente,casi nada en marzo. abril 1 a la semana.,diario,3-4 hrs,,,7,4-Mar,3/4/2007,24.5,,diario; 3-4 hrs,Yes,,
