ID,MX2_WI_SEASON,MX2_WI_SEASON_INFO,MX2_WI_SEASON_TYPE,MX3_CONT_INT,MX3_CONT_INT_INFO,MX4_WFREQ,MX4_WFREQ_INFO,MX4G_WFREQ_AWAR,MX4G_WFREQ_AWAR_INFO,MX5_WFREQ_NDAYS,MX5_WFREQ_NHRS,MX5_WFREQ_HRS/DAY,MX5_WFREQ_HRS/WEEK,MX5_WFREQ_HRS_INFO,MX5_WFREQ_HRS_INFO2,MX6_WPRESS,MX6_WPRESS_INFO,NOTES
1,marzo,marzo esporadicamente durante el año,,Intermitente,recibo agua 6 días y 1 no. durante el tiempo de escasez,diario,,,,7,24,24/7,168,"diario, las 24 hrs. En la mañana hay más presión",,Sí,durante la mañana,
2,"marzo, abril",,,Continua,,diario,,,,7,5,5/7,35,"los 7 días de la semana, 5 hrs diario","los 7 días de la semana, 5 hrs diario",Sí,,
3,N/A,"estable. regular siempre hay agua. solo findes--mañana, la quitan tipo 5 pm. dgo mañana se va el lunes a las 8am",,Intermitente,,1 a 3 días a la semana,,,,N/A,?,?,N/A,,,Sí,,
4,"época seca, enero","en enero o epoca de sequía no llega mucha agua, a veces avisan y no llega por una semana",,Intermitente,"le llega agua de 8am-12 día recibe agua, todos los días",diario,en el horario señalado anteriormente,,,7,4,4/7,28,4 hrs al día,"le llega agua de 8am-12 día recibe agua, todos los días",Sí,,
5,"época de calor, mayo, junio",,,Intermitente,"6 días a la semana se cuenta con agua. suelen cortar el agua hasta una semana (no es frecuente). cuando hay agua, fluye las 24 hrs.",4 a 6 días a la semana,,,,"6, 7",?,24/6 + ~12/1,156,no hay días especificos en los que falta el agua. Hay agua 6 días de 7 de la semana. En el día que no hay agua solo son unas horas,"6 días a la semana se cuenta con agua. suelen cortar el agua hasta una semana (no es frecuente). cuando hay agua, fluye las 24 hrs.Hay agua 6 días de 7 de la semana. En el día que no hay agua solo son unas horas",Sí,se cuela el agua de algunas fuentes,
6,primavera,primavera--mas calor,,Intermitente,"1 vez x semana usual% jueves noche, o viernes noche. no predecible. 12 noche a 6am.--> cisterna, lavar en la noche",1 a 3 días a la semana,,,,"1, 2, 3",6,6/1-3,12,12 noche a 6am,12 noche a 6am,Sí,"tienen suficiente, cuidan",
7,"marzo, abril, mayo, junio",,,Intermitente,"durante escasez no les llega. 1 vez por semana de las 9am-1pm. tienen que llamar pipas o ir a formar. Ellos van a formarse, si llaman no cuentan~1 a la semana, comparten con vecinos (2 o 3)",1 a 3 días a la semana,,,,"1, 2, 3",5-6,5-6/1-3,11,"9am-2 o 3pm~días no predecible, ni idea//cambian planes, hacer lo que no iba a hacer","9am-2 o 3pm~días no predecible, ni idea//cambian planes, hacer lo que no iba a hacer",Sí,llenar tinaco c/manguera pa ahorrar luz,
8,N/A,1 mes. maña 7-12:00 y dgo--un poco más 16:00,,Intermitente,maña 7-12:00 lunes-sabado y dgo--un poco más +-16:00,diario,en los horarios de arriba,,,7,5/6 + 9/1,5/6 + 9/1,39,"mañana 7:00-12:00 lunes a sabado
dgo--un poco más +-16:00","mañana 7:00-12:00 lunes a sabado
dgo--un poco más +-16:00",Sí,,
9,"primavera, época de calor, feb, marzo, abril, mayo, junio",primavera--calor--feb-marzo hasta junio,,Intermitente,cada semana. cada 15 días--> puede ser 1/2 día. epoca escasez--> llenan tambos y botes c/agua de llave. no hay un día fijo. hay poquito.,"en todo el mes, 1 a 3 veces",cada 8 días,,,"1, 2",1-6,1-6/1-2,5.25,"variable, 1-2 días a la semana--un rato. 1-6 horas","variable, 1-2 días a la semana--un rato. 1-6 horas",Sí,,
10,marzo,piden pipas,,Intermitente,casi nada en marzo. abril 1 a la semana.,diario,3-4 hrs,,,7,3-4,3-4/7,24.5,,diario; 3-4 hrs,Sí,,
11,abril,,,Intermitente,1 vez al mes--1 día (9am-9pm),1 a 3 días a la semana,,,,1,20,20/1,20,lunes-20 hrs-constante,lunes-20 hrs; 1-3 days,Sí,,
12,N/A,ninguno,,Intermitente,6:00-17:00,diario,,,,7,11,11/7,77,lunes-dgo * 6:00-17:00 en la mañana hay más presión,lunes-dgo * 6:00-17:00 en la mañana hay más presión,Sí,,
13,"época de calor, marzo, abril","marzo, abril, en epoca de calor se ha llegado a ir completamente",,Intermitente,"sabado, domingo, y miercoles 8:00-15:00--> mayor presión en las ultimas dos horas. flujo es poca",1 a 3 días a la semana,,,,3,7,7/3,21,"sabado, dgo, miercoles","sabado, dgo, miercoles; 8:00-15:00",Sí,,
14,"marzo, abril, mayo",,,Intermitente,todos los días mañana 8-11:00 am con mayor presión,diario,,,,7,3,3/7,21,mañanas 8-11:00am,mañanas 8-11:00am; diario,Sí,es fuerte la presión,
15,abril,,,Intermitente,"todos los días, hay agua durante el día hasta las 8pm.",diario,,,,7,12,~12/7,84,todo el día hasta las 8pm,todo el día hasta las 8pm,Sí,,
16,"marzo, abril",,,Intermitente,,diario,,,,7,~5,~5/7??,~35,todos los días de mañana hasta 11:30 am.,todos los días de mañana hasta 11:30 am.,Sí,,
17,semana santa,,,Intermitente,,1 a 3 dias a la semana,,,,3,3,3/3,9,3 veces x semana. en las mañanas por 3 hrs,3 veces x semana. en las mañanas por 3 hrs,Sí,durante las mañanas,
18,"junio, julio",,,Intermitente,,diario,,,,7,2-3,2-3/7,17.5,"temprano 6am a 8am, a veces 8am a 11am","temprano 6am a 8am, a veces 8am a 11am",Sí,de la calle llenan cisterna. Hay una bomba automatica. siempre tiene xq cisterna. meses escasez no tiene agua en cisterna.,
19,"semana santa, marzo, abril",seguido,,Intermitente,,diario,,,,2,4,4/2,8,"2 veces a la semana, 4 hrs x día. varía","2 veces a la semana, 4 hrs x día. varía",No,"lavar. mañana más presión, 10-11 am(?) baja y se va agua. Levanta temprano para hacer cosas.",
20,semana santa,,,Intermitente,,diario,,,,7,6,6/7,42,"diario, de 6am-12pm","diario, de 6am-12pm",No,llega a la planta baja pero en el piso 2 ya no me llega y hasta las 10am ya no llega.,
21,"marzo, abril",,,Intermitente,"2 a la semana, 3 hrs x día. mañana 8am-11am",diario,8am-11am,,,7,3,3/7??,21,diario; 8am-11am,2 a la semana; diario; 8am-11am,Sí,,preg 3
22,"semana santa, abril",,,Intermitente,1 x semana -- 6 hrs,diario,8am a 1pm,,,7,5-6,5/7??,35,,"diario: 8am -1pm
intermitente: 1 x semana--6hrs",Sí,,preg 3
23,"feb, abril, julio",,,Intermitente,,1 a 3 dias a la semana,,,,3,2,2/3,6,"3 veces a la semana, 9 a 11am","3 veces a la semana, 9 a 11am",No,cae poquita agua,
24,semana santa,,,Intermitente,"3 veces a la semana, de 7am-12pm",diario,,,,7,5,5/7?,35,diario de 7am a 12pm,3 veces a la sem; diario de 7am a 12pm,No,no est tanta presión para que suba y llene el tinaco,preg 3
25,"agosto, septiembre",,,Intermitente,2 veces x semana/8am-10am,diario,,,,7,2-3,3/7??,21,diario de 8am a 11am,diario de 8am a 11am; 2 veces x sem 8-10,Sí,,preg 3
26,abril,,,Intermitente,"diario en las mañanas gotea, solo algunas horas",diario,,,,7,2-3,2-3/7,17.5,"3 veces a la semana, en las mañanas 2 o 3 hrs al día","diario; en las mañanas gotea; 3 veces a la semana, en las mañanas 2 o 3 hrs al día",Sí,,preg 4 y preg 5
27,semana santa,,,intermitente,7am-12pm cada tercer dia,diario,,,,7,5,5/7??,,"diario, la de la llave solo de 7am-1pm. la de cisterna y tinacos todo el día","cada tercer día; diario, la de la llave solo de 7am-1pm. la de cisterna y tinacos todo el día?",Sí,,preg 5 (dos tuberias)
28,N/A,no escasea en el año,,N/A,?,diario,,,,7,3-4,3-4/7,24.5,diario de 8am-11 o 12pm,diario de 8am-11 o 12pm,Sí,,
29,"época seca, mayo, julio",,,intermitente,es intermitente/ recibe agua los 7 días a la semana alrededor de 4 hrs al día,diario,,,,7,4,4/7,28,"todos los días, 4 hrs al día","todos los días, 4 hrs al día",Sí,,
30,"marzo, abril",,,Intermitente,,diario,,,,7,4-5,4-5/7,31.5,todos los días solo alrededor de 4 o 5 hrs,todos los días solo alrededor de 4 o 5 hrs,No,"no, se acaba. llega muy poca y sucia",
31,"junio, julio",que es cuando se pide pipa,,Intermitente,,diario,,,,7,3,3/7,21,"llega a las 8 am, se a 11 am","llega a las 8 am, se a 11 am",Sí,,
32,"abril, mayo",,,intermitente,hay todos los días. desde las 8 de la mañana a la 2 de la tarde,diario,,,,7,4-6,4-6/7,35,llega diario. pero solo de 4-6 hrs al día.,llega diario. pero solo de 4-6 hrs al día.,No,sale muy poca agua. y se tienen que esperar su turno para llenar los tambos y el tinaco.,
33,abril,hay menos agua,,intermitente,"solo hay agua en las mañanas, como de 7am-12pm",4 a 6 días a la semana,,,,"5, 6, 7",4-5,4-5/5-7??,27,por temporadas cae diario y cae toda la noche. y por temporadas solo entre 4-5 hrs en la manãna por 5-6 días,por temporadas cae diario y cae toda la noche. y por temporadas solo entre 4-5 hrs en la manãna por 5-6 días,Sí,,preg 5-3
34,"semana santa, abril",,,intermitente,"cada 4 días, 1 vez x semana",diario,,,,7,2-3,2-3/7,17.5,10am-12 o 1pm,"cada 4 días, 1 vez x semana; diario; 10am-12 o 1pm",Sí,,
35,semana santa,deja de llegar por 7 días,,intermitente,normal% diario,diario,,,,7,4,4/7,28,8am-12pm,diario; 8am-12pm,Sí,,
36,abril,,,intermitente,1 vez a la semana . 3 hrs?,diario,,,,7,2.5,2.5/7,17.5,"diario, 3 hrs y medio. 9:30 a 12pm","1 vez a la semana. 3 hrs; diario, 3 hrs y medio. 9:30 a 12pm",Sí,regular,
37,arreglos/mantenimiento,cuando arreglan tuberia--1 o 2 al año,,intermitente,"8am-12, hasta 3 semanas, este año 1 sin agua",diario,,,,7,4,4/7,28,8am-12pm,diario; 8am-12pm,Sí,,
38,"primavera, marzo, junio",,,intermitente,se va 1 o 2 días al mes,diario,,,,7,4,4/7,28,8am-12pm,diario; 8am-12pm,Sí,,
39,"semana santa, agosto",,,intermitente,2 días a la semana de 8am-11am,1 a 3 dias a la semana,,,,2,3,3/2,6,"2 días a la semana, de 8-11am","2 días a la semana, de 8-11am",No,cae un chorro,
40,"enero, diciembre",,,Intermitente,,diario,,,,7,4,4/7,28,"diario, 8am-12pm","diario, 8am-12pm",Sí,,
41,"abril, mayo",,,Continua,,N/A ,(diario xq es continua),,,7,24,24/7,168,24/7,24/7 continua,Sí,"agua sucia, se da cuenta xq ropa blanca queda sucia. Percudido (necesidades)",
42,arreglos/mantenimiento,cortan solo x mantenimiento cisterna limpieza -->no siempre,,Continua,,diario,,,,7,24,24/7,168,,continua,Sí,,
43,"primavera, verano, abril, junio",mas fuerte,,N/A,"no se va por completa, pero cae poquito, baja la presión. (continua) A veces no se pueden bañar ni lavar ropa. Al 3er piso ya no sube. Vive en el 2do aveces tiene que bajar c/cubeta.",diario,"sube la presión en la noche, baja durante el día",,,7,24,24/7,168,,"diario ;no se va por completo, pero cae poquito, baja la presión",Sí,,
44,N/A,"todo el año igual--cuando cortaron a todos, fue algo quizas una fuga",,continua,"en la mañana cae poca, quizas. le permite hacer todo. 2 primeros pisos les llega bien",diario,,,,7,24,24/7,168,,continua,Sí,,
45,"época de calor, abril, mayo, septiembre, octubre",sept y oct caía muy poca. en epoca de calor cae hasta una vez a la semana abril-mayo,,intermitente,solo hay agua de 8am a 11am 2 o 3 veces a la semana,diario,,,,"2, 3",3,3/2-3,7.5,solo 3 hrs de 2-3 veces a la sem,solo 3 hrs de 2-3 veces a la sem,Sí,,
46,semana santa,identifica la falta de agua en semana santa por cortes,,intermitente,8-9 hrs de agua de 3 a 4 días a la sem,4 a 6 días a la semana,,,,"3, 4",8-9,8-9/3-4,29.75,"lunes, miercoles, y viernes llega agua por 8 hrs","lunes, miercoles, y viernes llega agua por 8 hrs",Sí,ponen un trapo para filtrar el agua de la toma principal,
47,N/A,no escasea,,continua,siempre es continua,diario,a veces baja la presión. No llega tan fuerte primer piso,,,7,24,24/7,168,"diario, a todas horas","continua, diario a todas horas",Sí,"pero hay pocas veces que no hay presión. 2 o 3 veces en 2 meses. aprox. casi no pasa, dice",
48,N/A,por regular no,,continua,,diario,,,,7,24,24/7,168,diario,continua; diario,Sí,,
49,N/A,no escasea,,continua,,diario,,,,7,24,24/7,168,,continua,No,de repente llega con poca presión. 1 o 2 veces x semana,
50,N/A,a finales de año paso. no tienen agua cuando pasa eso,,continua,,diario,,,,7,24,24/7,168,diario,continua,Sí,,
51,N/A,no,,continua,a veces tiene poca presión,diario,,,,7,24,24/7,168,"diairo, 24/7","diario, 24/7",Sí,"de 2 meses para aca si, antes de eso no habia buena presion",
52,"marzo, abril",,,intermitente,,diario,,,,7,10,10/7,70,todos los días de las 8am-6pm.,todos los días de las 8am-6pm.,Sí,filtro casero,
53,"primavera, marzo, abril, mayo","primavera--variable--finales marzo, abril, mayo",,Intermitente,,diario,,,,7,3,3/7,21,usual% mañanas. varía. 8am-11am. // en oct-sept--> les faltó--> estaban arreglando,diario; usual% mañanas. varía. 8am-11am. /,Sí,moderada,
54,julio,hicieron un corte (15 días). estaban arreglando tuberia. casi nunca les falta. solo si hay cortes. ,,Intermitente,,diario,,,,7,6,6/7,42,6am-12pm. todos los días,6am-12pm. todos los días,Sí,,
55,"marzo, abril",,,Intermitente,,1 a 3 días a la semana,,,,"2, 3",?,?7/2-3,17.5,"muy inestable, cada 3er día. mañana, 7am-1pm. noche 11pm~a veces no se dan cuenta si llega. si no abren llave no se enteran que llega",,Sí,,preg 5
56,"septiembre, diciembre",dic y sept--se rompen tuberias x tamblores,,Intermitente,,diario,,,,7,14.5,14.5/7,101.5,"9am a 11:30 pm --> dejan abierta temprano en la mañana. la usan directo de llave--> tinaco--> lavadero--> se va por drenaje, queda abierta en lavadero por que ahí escuchan ven que llega} viene sucio y luego ya la pone en tambo y tinaco",9am a 11:30 pm,N/A,"varía, a veces cae poco",
57,"época de calor, mayo",cuando hace calor. mayo,,Intermitente,,diario,,,,7,4,4/7,28,"mes pasado, llego un par de veces x semana",8am-12pm; diario,Sí,,
58,abril,,,Intermitente,,diario,,,,7,5,5/7,35,7am-12pm--todos los días,7am-12pm--todos los días,Sí,,
