Folio,Hours_per_week,Supply,PSS,Water_Worry,Hygiene
1,168,Intermitente,-4,3,0
2,35,Intermitente,-6,2,1
3,N/A,Intermitente,0,1,0
4,28,Intermitente,-1,2,0
5,156,Intermitente,0,4,2
6,12,Intermitente,-2,4,4
7,11,Intermitente,-1,2,3
8,39,Intermitente,0,2,4
9,5.25,Intermitente,-2,1,0
10,24.5,Intermitente,-5,2,2
11,20,Intermitente,-2,4,2
12,77,Intermitente,4,3,0
13,21,Intermitente,1,1,0
14,21,Intermitente,-2,1,0
15,84,Intermitente,1,0,1
16,35,Intermitente,5,8,5
17,9,Intermitente,-4,1,3
18,17.5,Intermitente,-4,2,1
19,8,Intermitente,-1,1,3
20,42,Intermitente,-3,5,3
21,21,Intermitente,-3,1,0
22,35,Intermitente,3,5,2
23,6,Intermitente,-4,8,7
24,35,Intermitente,-10,2,5
25,21,Intermitente,-2,2,1
26,17.5,Intermitente,3,4,3
27,168,intermitente,-3,3,2
28,24.5,intermitente,-2,0,0
29,28,intermitente,-1,3,3
30,31.5,Intermitente,-7,4,3
31,21,Intermitente,-5,5,4
32,35,intermitente,-4,5,4
33,27,intermitente,-4,3,3
34,17.5,intermitente,4,3,2
35,28,intermitente,-4,1,0
36,17.5,intermitente,-7,1,0
37,28,intermitente,NA,1,0
38,28,intermitente,0,3,0
39,6,intermitente,-2,6,6
40,28,Intermitente,-2,7,7
41,168,Continua,-3,0,0
42,168,Continua,0,0,0
43,168,continua,0,2,1
44,168,continua,-1,0,0
45,7.5,intermitente,-5,2,1
46,29.75,intermitente,-6,4,1
47,168,continua,-9,0,0
48,168,continua,-3,0,1
49,168,continua,-7,0,0
50,168,continua,0,1,0
51,168,continua,1,1,1
52,70,intermitente,3,3,2
53,21,Intermitente,5,0,0
54,42,Intermitente,0,0,1
55,17.5,Intermitente,1,2,3
56,101.5,Intermitente,0,4,3
57,28,Intermitente,-2,3,3
58,35,Intermitente,-1,1,2
59,24.5,Intermitente,-9,2,0
60,57.75,Intermitente,-8,2,0
61,28,Intermitente,-1,1,1
62,42,Intermitente,-6,3,1
63,35,Intermitente,-3,1,2
64,21,Intermitente,0,4,0
65,15,Intermitente,6,4,1
66,42,Intermitente,-6,0,0
67,42,Intermitente,-13,1,0
68,21,Intermitente,-1,3,3
69,48,Intermitente,4,4,2
70,5,Intermitente,-7,3,0
71,168,Continua,-3,0,0
72,168,Continua,0,1,0
73,35,Intermitente,0,1,0
