folio #,3_Usted recibe agua del suministro publico de forma continua or intermitente,5_hrs_water_supply (per wk)
1,Intermitente,168
2,Continua,35
3,Intermitente,N/A
4,Intermitente,28
5,Intermitente,156
6,Intermitente,12
7,Intermitente,11
8,Intermitente,39
9,Intermitente,5.25
10,Intermitente,24.5
11,Intermitente,20
12,Intermitente,77
13,Intermitente,21
14,Intermitente,21
15,Intermitente,84
16,Intermitente,35
17,Intermitente,9
18,Intermitente,17.5
19,Intermitente,8
20,Intermitente,42
21,Intermitente,21
22,Intermitente,35
23,Intermitente,6
24,Intermitente,35
25,Intermitente,21
26,Intermitente,17.5
27,intermitente,
28,N/A,24.5
29,intermitente,28
30,Intermitente,31.5
31,Intermitente,21
32,intermitente,35
33,intermitente,27
34,intermitente,17.5
35,intermitente,28
36,intermitente,17.5
37,intermitente,28
38,intermitente,28
39,intermitente,6
40,Intermitente,28
41,Continua,168
42,Continua,168
43,N/A,168
44,continua,168
45,intermitente,7.5
46,intermitente,29.75
47,continua,168
48,continua,168
49,continua,168
50,continua,168
51,continua,168
52,intermitente,70
53,Intermitente,21
54,Intermitente,42
55,Intermitente,17.5
56,Intermitente,101.5
57,Intermitente,28
58,Intermitente,35
59,Intermitente,24.5
60,Intermitente,57.75
61,Intermitente,28
62,Intermitente,42
63,Intermitente,35
64,Intermitente,
65,Intermitente,15
66,Intermitente,42
67,Intermitente,42
68,Intermitente,21
69,Intermitente,48
70,N/A,5
71,Continua,168
72,Continua,168
73,Intermitente,35
74,Intermitente,28
75,Intermitente,N/A
76,Continua,168
77,Intermitente,168
78,Continua,168
79,Continua,168
80,Continua,168
81,continua,168
82,intermitente,168
83,continua,168
84,intermitente,168
85,intermitente,144
86,continua,168
87,intermitente,9
88,continua,168
89,continua,168
90,continua,168
91,continua,168
92,continua,168
93,continua,168
94,continua,168
95,intermitente,N/A
96,N/A,168
97,continua,168
98,continua,160
99,intermitente,119
100,continua,168
101,intermitente,140
102,continua,168
103,continua,168
104,continua,168
105,continua,168
106,continua,168
107,intermitente,120
108,intermitente,19.25
109,intermitente,15.75
110,continua,168
111,continua,168
112,continua,168
113,intermitente,42
114,intermitente,168
115,intermitente,168
116,intermitente,168
117,continua,168
118,continua,168
119,intermitente,168
120,intermitente,18
121,continua,168
122,N/A,168
123,N/A,168
124,continua,168
125,continua,168
126,continua,168
127,continua,168
128,intermitente,115.5
129,N/A,168
130,continua,168
131,continua,168
132,continua,168
133,continua,168
134,continua,168
135,intermitente,168
136,continua,168
137,intermitente,168
138,intermitente,NA
139,intermitente,168
140,continua,168
141,intermitente,126
142,intermitente,27.5
143,intermitente,168
144,intermitente,~56
145,intermitente,NA
146,intermitente,NA
147,continua,168
148,intermitente,168
149,N/A,168
150,intermitente,168
151,intermitente,10.5
152,continua,168
153,intermitente,168
154,continua,168
155,continua,168
156,intermitente,
157,continua,168
158,intermitente,132.125
159,intermitente,8
160,continua,168
161,continua,168
162,continua,168
163,continua,168
164,N/A,N/A
165,continua,168
166,intermitente,21
167,intermitente,21
168,intermitente,14
169,intermitente,12
170,intermitente,18
171,intermitente,70
172,N/A,31.5
173,N/A,8
174,N/A,21
175,N/A,45.5
176,intermitente,24.5
177,intermitente,42
178,intermitente,14
179,intermitente,18
180,intermitente,26.25
181,intermitente,24
182,N/A,28
183,intermitente,84
184,intermitente,49
185,intermitente,35
186,intermitente,28
187,intermitente,35
188,intermitente,21
189,intermitente,22.75
190,intermitente,10.5
191,intermitente,24
192,intermitente,38.5
